,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0,0.0,1.17,0.0,1.17,0.0,1.14,0.0,1.13,0.0,1.12,0.0,1.1,0.0,1.08,0.0,1.07,0.0,1.12,0.0,1.04
1,0.05,1.17,0.05,1.17,0.05,1.13,0.05,1.13,0.05,1.12,0.05,1.09,0.05,1.07,0.05,1.07,0.05,1.08,0.05,1.04
2,0.1,1.16,0.1,1.18,0.1,1.13,0.1,1.13,0.1,1.12,0.1,1.1,0.1,1.07,0.1,1.07,0.1,1.07,0.1,1.05
3,0.15,1.17,0.15,1.18,0.15,1.13,0.15,1.13,0.15,1.12,0.15,1.1,0.15,1.06,0.15,1.07,0.15,1.06,0.15,1.04
4,0.2,1.15,0.2,1.18,0.2,1.12,0.2,1.13,0.2,1.12,0.2,1.08,0.2,1.05,0.2,1.07,0.2,1.04,0.2,1.03
5,0.25,1.14,0.25,1.18,0.25,1.11,0.25,1.12,0.25,1.12,0.25,1.05,0.25,1.03,0.25,1.07,0.25,1.03,0.25,1.02
6,0.3,1.12,0.3,1.18,0.3,1.09,0.3,1.12,0.3,1.14,0.3,1.02,0.3,1.0,0.3,1.07,0.3,1.0,0.3,1.03
7,0.35,1.1,0.35,1.18,0.35,1.07,0.35,1.09,0.35,1.11,0.35,0.99,0.35,0.97,0.35,1.06,0.35,0.96,0.35,1.0
8,0.4,1.08,0.4,1.17,0.4,1.06,0.4,1.06,0.4,1.11,0.4,0.95,0.4,0.94,0.4,1.06,0.4,0.93,0.4,0.96
9,0.45,1.06,0.45,1.16,0.45,1.03,0.45,1.05,0.45,1.1,0.45,0.92,0.45,0.9,0.45,1.04,0.45,0.89,0.45,0.93
10,0.5,1.02,0.5,1.16,0.5,1.02,0.5,1.04,0.5,1.07,0.5,0.88,0.5,0.86,0.5,1.03,0.5,0.85,0.5,0.9
11,0.55,0.99,0.55,1.14,0.55,0.99,0.55,1.02,0.55,1.05,0.55,0.84,0.55,0.82,0.55,1.01,0.55,0.8,0.55,0.86
12,0.6,0.95,0.6,1.12,0.6,0.95,0.6,0.98,0.6,1.0,0.6,0.8,0.6,0.77,0.6,1.01,0.6,0.76,0.6,0.82
13,0.65,0.9,0.65,1.09,0.65,0.91,0.65,0.94,0.65,0.96,0.65,0.76,0.65,0.73,0.65,0.98,0.65,0.71,0.65,0.78
