"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.19,,,0.000,1.15,,,0.000,1.14,,,0.000,1.13,,,0.000,1.11,,,0.000,1.07,,,0.000,1.13,,,0.000,1.05,,,0.000,1.09,,,0.000,1.10,,
0.020,1.19,0.00,,0.020,1.16,0.05,,0.020,1.18,-5.07,,0.020,1.13,0.02,,0.020,1.14,-4.21,,0.020,1.07,0.01,,0.020,1.13,-0.43,,0.020,1.05,-0.01,,0.020,1.09,-0.26,,0.020,1.10,-0.05,
0.040,1.19,0.04,1.32,0.040,1.16,-0.05,-6.42,0.040,0.94,-3.56,81.28,0.040,1.13,0.10,-1.34,0.040,0.95,-1.92,127.82,0.040,1.07,-0.02,-1.67,0.040,1.11,-0.26,9.56,0.040,1.05,-0.01,0.00,0.040,1.08,-0.06,8.19,0.040,1.10,0.01,2.86
0.060,1.19,0.05,1.78,0.060,1.16,-0.21,-5.39,0.060,0.94,-1.81,82.88,0.060,1.14,-0.03,-3.71,0.060,0.93,0.90,85.52,0.060,1.07,-0.05,-0.26,0.060,1.11,-0.05,7.01,0.060,1.05,-0.01,0.15,0.060,1.09,0.07,4.11,0.060,1.10,0.06,2.75
0.080,1.19,0.05,4.10,0.080,1.15,-0.31,-3.25,0.080,0.95,-0.04,81.17,0.080,1.13,-0.16,-2.39,0.080,1.10,2.69,20.92,0.080,1.07,-0.04,0.87,0.080,1.12,0.11,2.48,0.080,1.05,-0.01,0.22,0.080,1.09,0.14,0.04,0.080,1.10,0.12,1.74
0.100,1.19,0.20,5.75,0.100,1.14,-0.33,-1.69,0.100,0.95,1.36,67.68,0.100,1.13,-0.15,0.46,0.100,1.10,1.44,-28.90,0.100,1.07,0.00,0.93,0.100,1.12,0.04,-1.58,0.100,1.05,0.00,0.26,0.100,1.10,0.04,-3.09,0.100,1.10,0.17,-0.73
0.120,1.19,0.38,3.49,0.120,1.14,-0.31,-2.82,0.120,0.93,3.00,32.12,0.120,1.13,-0.06,1.19,0.120,1.10,0.05,-33.45,0.120,1.07,0.03,-0.46,0.120,1.12,-0.05,-2.76,0.120,1.05,0.00,0.35,0.120,1.09,-0.02,-3.96,0.120,1.11,0.12,-3.65
0.140,1.21,0.41,-2.11,0.140,1.13,-0.42,-5.78,0.140,1.13,3.26,-19.41,0.140,1.13,-0.08,0.38,0.140,1.10,0.07,-12.00,0.140,1.07,-0.01,-1.92,0.140,1.11,-0.08,-1.81,0.140,1.05,0.01,0.35,0.140,1.09,-0.14,-4.00,0.140,1.11,-0.02,-4.55
0.160,1.22,0.26,-5.81,0.160,1.12,-0.57,-8.72,0.160,1.13,1.91,-51.99,0.160,1.13,-0.10,0.37,0.160,1.10,0.05,-1.24,0.160,1.07,-0.08,-1.98,0.160,1.11,-0.10,-0.20,0.160,1.05,0.02,0.12,0.160,1.09,-0.16,-5.03,0.160,1.11,-0.13,-2.56
0.180,1.22,0.07,-5.43,0.180,1.11,-0.77,-10.41,0.180,1.14,0.12,-45.73,0.180,1.12,-0.07,1.48,0.180,1.10,0.01,-1.61,0.180,1.07,-0.12,-0.69,0.180,1.11,-0.13,1.51,0.180,1.05,0.02,-0.23,0.180,1.08,-0.30,-4.18,0.180,1.10,-0.13,0.34
0.200,1.22,0.02,-2.82,0.200,1.09,-1.00,-11.78,0.200,1.14,-0.10,-20.38,0.200,1.12,-0.02,2.53,0.200,1.10,-0.03,-1.15,0.200,1.06,-0.10,0.52,0.200,1.11,-0.03,1.94,0.200,1.05,0.01,-0.81,0.200,1.08,-0.46,0.35,0.200,1.10,-0.07,1.88
0.220,1.22,-0.01,-0.93,0.220,1.07,-1.23,-11.92,0.220,1.13,-0.22,-3.28,0.220,1.12,0.03,2.59,0.220,1.10,-0.04,-0.37,0.220,1.06,-0.07,1.35,0.220,1.10,0.03,-0.34,0.220,1.05,0.00,-0.95,0.220,1.06,-0.34,5.83,0.220,1.10,-0.03,1.65
0.240,1.22,-0.01,-0.61,0.240,1.04,-1.52,-9.14,0.240,1.13,-0.19,-1.67,0.240,1.12,0.11,0.85,0.240,1.10,-0.04,0.21,0.240,1.06,-0.06,1.60,0.240,1.11,-0.03,-3.42,0.240,1.05,-0.05,-1.10,0.240,1.05,-0.08,4.50,0.240,1.10,-0.01,0.84
0.260,1.22,-0.02,-0.67,0.260,1.01,-1.68,-4.16,0.260,1.13,-0.17,-4.22,0.260,1.13,0.11,-2.18,0.260,1.10,-0.03,0.36,0.260,1.06,0.01,1.02,0.260,1.11,-0.17,-4.16,0.260,1.05,-0.03,-2.08,0.260,1.07,0.02,-3.89,0.260,1.10,0.00,0.30
0.280,1.22,-0.04,-0.45,0.280,0.97,-1.65,-0.69,0.280,1.12,-0.34,-8.20,0.280,1.13,-8.19E-4,-4.37,0.280,1.10,-0.02,0.16,0.280,1.06,0.01,-1.33,0.280,1.10,-0.24,-3.37,0.280,1.04,-0.09,-3.46,0.280,1.07,-0.28,-10.77,0.280,1.10,0.00,0.07
0.300,1.22,-0.05,0.31,0.300,0.94,-1.60,-1.92,0.300,1.11,-0.58,-10.39,0.300,1.13,-0.12,-2.98,0.300,1.10,-0.02,-0.21,0.300,1.07,-0.02,-4.62,0.300,1.10,-0.26,-3.20,0.300,1.05,-0.21,-4.16,0.300,1.05,-0.61,-10.85,0.300,1.10,0.00,0.01
