Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,,Acceleration (m/s²) Run #10
0,1.17,,,0,1.17,,,0,1.14,,,0,1.13,,,0,1.12,,,0,1.1,,,0,1.08,,,0,1.07,,,0,1.12,,,0,1.04,,,
0.05,1.17,-0.11,,0.05,1.17,0.01,,0.05,1.13,-0.12,,0.05,1.13,0,,0.05,1.12,-0.03,,0.05,1.09,0,,0.05,1.07,-0.06,,0.05,1.07,-0.04,,0.05,1.08,-0.49,,0.05,1.04,0.11,,
0.1,1.16,-0.1,-0.46,0.1,1.18,0.02,0.13,0.1,1.13,-0.07,0.38,0.1,1.13,0,0,0.1,1.12,-0.01,0.19,0.1,1.1,-0.04,-2.02,0.1,1.07,-0.14,-1.67,0.1,1.07,-0.04,0.24,0.1,1.07,-0.32,2.54,0.1,1.05,-0.06,-2.47,
0.15,1.17,-0.16,-1.02,0.15,1.18,0.03,0.03,0.15,1.13,-0.09,-0.8,0.15,1.13,0,-0.64,0.15,1.12,-0.01,0.29,0.15,1.1,-0.2,-3.07,0.15,1.06,-0.22,-1.95,0.15,1.07,-0.02,0.22,0.15,1.06,-0.24,0.12,0.15,1.04,-0.13,-1.07,
0.2,1.15,-0.23,-1.19,0.2,1.18,0.03,-0.13,0.2,1.12,-0.17,-1.43,0.2,1.13,-0.04,-1.55,0.2,1.12,0.04,-0.1,0.2,1.08,-0.4,-3.11,0.2,1.05,-0.33,-2.21,0.2,1.07,-0.01,0.04,0.2,1.04,-0.32,-1.67,0.2,1.03,-0.12,-0.9,
0.25,1.14,-0.28,-1.17,0.25,1.18,0.02,-0.46,0.25,1.11,-0.26,-1.51,0.25,1.12,-0.15,-2.25,0.25,1.12,0.01,-0.76,0.25,1.05,-0.56,-2.24,0.25,1.03,-0.45,-2.27,0.25,1.07,-0.01,-0.38,0.25,1.03,-0.46,-2.47,0.25,1.02,-0.14,-1.91,
0.3,1.12,-0.33,-1.35,0.3,1.18,-0.01,-0.83,0.3,1.09,-0.32,-1.13,0.3,1.12,-0.31,-2,0.3,1.14,-0.06,-1.5,0.3,1.02,-0.62,-1.26,0.3,1,-0.57,-2.02,0.3,1.07,-0.04,-0.93,0.3,1,-0.6,-2.21,0.3,1.03,-0.32,-2.97,
0.35,1.1,-0.41,-1.64,0.35,1.18,-0.08,-1.05,0.35,1.07,-0.39,-0.59,0.35,1.09,-0.4,-0.85,0.35,1.11,-0.14,-1.93,0.35,0.99,-0.66,-0.76,0.35,0.97,-0.66,-1.54,0.35,1.06,-0.11,-1.36,0.35,0.96,-0.69,-1.6,0.35,1,-0.51,-2.93,
0.4,1.08,-0.51,-1.79,0.4,1.17,-0.13,-1.16,0.4,1.06,-0.38,-0.46,0.4,1.06,-0.38,-0.03,0.4,1.11,-0.26,-2.44,0.4,0.95,-0.68,-0.71,0.4,0.94,-0.72,-1.09,0.4,1.06,-0.19,-1.25,0.4,0.93,-0.74,-1.15,0.4,0.96,-0.64,-2.03,
0.45,1.06,-0.6,-1.7,0.45,1.16,-0.18,-1.5,0.45,1.03,-0.38,-1.04,0.45,1.05,-0.33,-0.57,0.45,1.1,-0.36,-2.82,0.45,0.92,-0.72,-0.81,0.45,0.9,-0.76,-0.85,0.45,1.04,-0.26,-0.72,0.45,0.89,-0.8,-0.98,0.45,0.93,-0.69,-1.26,
0.5,1.02,-0.68,-1.5,0.5,1.16,-0.26,-1.95,0.5,1.02,-0.47,-2.11,0.5,1.04,-0.4,-1.84,0.5,1.07,-0.56,-2.76,0.5,0.88,-0.77,-0.84,0.5,0.86,-0.8,-0.83,0.5,1.03,-0.25,-0.58,0.5,0.85,-0.84,-0.92,0.5,0.9,-0.75,-0.86,
0.55,0.99,-0.75,-1.26,0.55,1.14,-0.4,-2.05,0.55,0.99,-0.62,-2.54,0.55,1.02,-0.56,-2.61,0.55,1.05,-0.68,-2.23,0.55,0.84,-0.81,-0.77,0.55,0.82,-0.84,-0.92,0.55,1.01,-0.26,-1.33,0.55,0.8,-0.89,-0.82,0.55,0.86,-0.79,-0.65,
0.6,0.95,-0.81,-0.93,0.6,1.12,-0.49,-1.81,0.6,0.95,-0.78,-2,0.6,0.98,-0.71,-2.31,0.6,1,-0.77,-1.37,0.6,0.8,-0.84,-0.74,0.6,0.77,-0.9,-0.95,0.6,1.01,-0.37,-2.44,0.6,0.76,-0.93,-0.72,0.6,0.82,-0.81,-0.47,
0.65,0.9,-0.84,-0.56,0.65,1.09,-0.56,-1.65,0.65,0.91,-0.83,-1.14,0.65,0.94,-0.8,-1.45,0.65,0.96,-0.82,-0.79,0.65,0.76,-0.88,-0.71,0.65,0.73,-0.94,-0.8,0.65,0.98,-0.55,-2.71,0.65,0.71,-0.96,-0.58,0.65,0.78,-0.83,-0.41,
0.7,0.86,-0.86,-0.4,0.7,1.07,-0.64,-1.75,0.7,0.87,-0.86,-0.51,0.7,0.9,-0.85,-0.69,0.7,0.92,-0.83,-0.5,0.7,0.71,-0.92,-0.58,0.7,0.68,-0.98,-0.52,0.7,0.95,-0.7,-1.98,0.7,0.66,-0.99,-0.46,0.7,0.73,-0.85,-0.43,
0.75,0.82,-0.86,-0.62,0.75,1.03,-0.74,-1.62,0.75,0.83,-0.88,-0.26,0.75,0.86,-0.86,-0.26,0.75,0.88,-0.86,-0.45,0.75,0.67,-0.95,-0.32,0.75,0.63,-0.99,-0.31,0.75,0.91,-0.74,-1.03,0.75,0.62,-1,-0.34,0.75,0.69,-0.87,-0.41,
0.8,0.77,-0.91,-0.89,0.8,0.99,-0.83,-1.2,0.8,0.78,-0.88,-0.19,0.8,0.81,-0.86,-0.17,0.8,0.84,-0.89,-0.48,0.8,0.62,-0.95,-0.13,0.8,0.58,-1,-0.21,0.8,0.87,-0.77,-0.53,0.8,0.56,-1.02,-0.21,0.8,0.65,-0.89,-0.34,
0.85,0.73,-0.98,-0.81,0.85,0.94,-0.85,-0.84,0.85,0.74,-0.88,-0.31,0.85,0.77,-0.87,-0.24,0.85,0.79,-0.91,-0.46,0.85,0.57,-0.95,-0.15,0.85,0.53,-1.02,-0.19,0.85,0.83,-0.79,-0.51,0.85,0.51,-1.03,-0.11,0.85,0.6,-0.9,-0.26,
0.9,0.67,-1.01,-0.26,0.9,0.9,-0.89,-0.77,0.9,0.7,-0.91,-0.46,0.9,0.73,-0.89,-0.3,0.9,0.74,-0.93,-0.51,0.9,0.52,-0.96,-0.27,0.9,0.48,-1.02,-0.17,0.9,0.8,-0.81,-0.62,0.9,0.46,-1.02,-0.09,0.9,0.56,-0.92,-0.21,
0.95,0.62,-1.01,0.14,0.95,0.86,-0.93,-0.84,0.95,0.65,-0.94,-0.37,0.95,0.68,-0.9,-0.29,0.95,0.7,-0.96,-0.56,0.95,0.48,-0.98,-0.32,0.95,0.43,-1.03,-0.08,0.95,0.75,-0.85,-0.68,0.95,0.41,-1.03,-0.17,0.95,0.51,-0.93,-0.16,
1,0.58,-0.96,0.1,1,0.81,-0.98,-0.74,1,0.6,-0.96,-0.18,1,0.64,-0.92,-0.25,1,0.65,-0.99,-0.51,1,0.42,-1,-0.23,1,0.38,-1.04,0.04,1,0.71,-0.89,-0.58,1,0.36,-1.04,-0.27,1,0.46,-0.93,-0.09,
1.05,0.53,-0.98,-0.13,1.05,0.76,-1.02,-0.5,1.05,0.55,-0.95,-0.11,1.05,0.59,-0.93,-0.21,1.05,0.6,-1.01,-0.43,1.05,0.38,-1.01,-0.15,1.05,0.32,-1.02,0.21,1.05,0.67,-0.91,-0.36,1.05,0.31,-1.06,-0.08,1.05,0.42,-0.93,-0.05,
1.1,0.48,-1,-0.25,1.1,0.7,-1.03,-0.23,1.1,0.5,-0.96,-0.15,1.1,0.54,-0.94,-0.18,1.1,0.55,-1.03,-0.36,1.1,0.32,-1.01,-0.07,1.1,0.27,-1.02,0.7,1.1,0.62,-0.92,-0.13,1.1,0.25,-1.08,28.7,1.1,0.37,-0.93,-0.05,
1.15,0.43,-1.01,-0.12,1.15,0.65,-1.03,-0.05,1.15,0.46,-0.97,-0.13,1.15,0.5,-0.94,-0.21,1.15,0.5,-1.05,-0.3,1.15,0.27,-1.02,0.48,1.15,0.22,-0.99,29.63,1.15,0.57,-0.92,0.02,1.15,0.2,-1.02,86.16,1.15,0.32,-0.94,-0.07,
1.2,0.38,-1.01,0,1.2,0.6,-1.03,0.04,1.2,0.41,-0.97,-0.04,1.2,0.45,-0.96,-0.25,1.2,0.44,-1.06,-0.2,1.2,0.22,-1.01,34.46,1.2,0.17,-0.86,86.82,1.2,0.53,-0.92,0.09,1.2,0.14,7.52,115.87,1.2,0.28,-0.94,0.37,
1.25,0.33,-1.01,0.27,1.25,0.55,-1.03,0.11,1.25,0.36,-0.97,0,1.25,0.4,-0.97,-0.27,1.25,0.39,-1.07,-0.06,1.25,0.17,-0.86,69.17,1.25,0.13,7.71,115.7,1.25,0.48,-0.91,0.1,1.25,0.11,16.19,60.86,1.25,0.23,-0.95,1.6,
1.3,0.28,-1,0.82,1.3,0.5,-1.02,0.18,1.3,0.31,-0.97,0.14,1.3,0.35,-0.98,-0.26,1.3,0.34,-1.07,0.11,1.3,0.13,9.17,38.2,1.3,0.11,16.33,59.89,1.3,0.43,-0.91,0.08,1.3,2.6,16.48,-51.48,1.3,0.18,-0.82,30.92,
1.35,0.23,-0.94,29.49,1.35,0.45,-1.01,0.22,1.35,0.26,-0.97,0.79,1.35,0.3,-1,0.05,1.35,0.28,-1.06,0.73,1.35,0.11,9.55,-32.32,1.35,2.6,16.53,-52.52,1.35,0.39,-0.9,0.02,1.35,2.6,8.29,,1.35,0.13,-0.58,92.1,
1.4,0.18,-0.83,86.18,1.4,0.4,-1,0.15,1.4,0.21,-0.93,29.83,1.4,0.25,-1.01,1.02,1.4,0.23,-1.04,29.83,1.4,3.03,0.04,-44.57,1.4,2.6,8.29,-109.54,1.4,0.34,-0.9,-0.06,1.4,2.6,-0.02,,1.4,0.13,7.97,96.81,
1.45,0.14,7.67,114.91,1.45,0.35,-0.99,-0.06,1.45,0.16,-0.78,86.74,1.45,0.2,-0.93,30.34,1.45,0.18,-0.88,86.97,1.45,0.13,-1.42,45.58,1.45,2.6,0,-82.72,1.45,0.3,-0.91,-0.01,1.45,2.6,,,1.45,0.11,17.89,8.09,
1.5,0.11,16.24,59.66,1.5,0.3,-1,-0.06,1.5,0.13,7.78,115.17,1.5,0.15,-0.74,92.09,1.5,0.13,7.7,115.65,1.5,0.12,6.78,87.09,1.5,2.6,-6.60E-04,-27.62,1.5,0.25,-0.92,0.58,,,,,1.5,2.6,9.75,-90.8,
1.55,2.6,16.46,-52.14,1.55,0.25,-1.03,28.53,1.55,0.11,16.34,31.62,1.55,0.12,7.84,97.61,1.55,0.12,16.29,59.75,1.55,2.6,16.49,9.65,1.55,2.6,0,0.01,1.55,0.21,-0.89,29.63,,,,,1.55,3.03,0.07,-74.32,
