,Position (m) Run #1,Time (s) Run #1,Position (m) Run #2,Time (s) Run #2,Position (m) Run #3,Time (s) Run #3,Position (m) Run #4,Time (s) Run #4,Position (m) Run #5,Time (s) Run #5,Position (m) Run #6,Time (s) Run #6,Position (m) Run #7,Time (s) Run #7,Position (m) Run #8,Time (s) Run #8,Position (m) Run #9,Time (s) Run #9,Position (m) Run #10,Time (s) Run #10
0,1.19,0.0,1.15,0.0,1.13,0.0,1.12,0.0,1.09,0.0,1.06,0.0,1.1,0.0,1.05,0.0,1.09,0.0,1.1,0.0
1,1.19,0.02,1.16,0.02,1.14,0.02,1.12,0.02,1.1,0.02,1.06,0.02,1.11,0.02,1.05,0.02,1.1,0.02,1.1,0.02
2,1.19,0.04,1.16,0.04,1.14,0.04,1.12,0.04,1.1,0.04,1.07,0.04,1.11,0.04,1.05,0.04,1.09,0.04,1.1,0.04
3,1.19,0.06,1.16,0.06,1.13,0.06,1.13,0.06,1.09,0.06,1.06,0.06,1.1,0.06,1.04,0.06,1.09,0.06,1.1,0.06
4,1.19,0.08,1.15,0.08,1.13,0.08,1.12,0.08,1.09,0.08,1.06,0.08,1.1,0.08,1.05,0.08,1.09,0.08,1.1,0.08
5,1.18,0.1,1.14,0.1,1.13,0.1,1.11,0.1,1.09,0.1,1.04,0.1,1.1,0.1,1.04,0.1,1.08,0.1,1.09,0.1
6,1.17,0.12,1.14,0.12,1.12,0.12,1.11,0.12,1.08,0.12,1.04,0.12,1.08,0.12,1.03,0.12,1.08,0.12,1.09,0.12
7,1.14,0.14,1.13,0.14,1.11,0.14,1.1,0.14,1.08,0.14,1.03,0.14,1.08,0.14,1.03,0.14,1.06,0.14,1.08,0.14
8,1.12,0.16,1.12,0.16,1.1,0.16,1.1,0.16,1.07,0.16,1.01,0.16,1.06,0.16,1.02,0.16,1.05,0.16,1.09,0.16
9,1.1,0.18,1.11,0.18,1.08,0.18,1.08,0.18,1.07,0.18,1.0,0.18,1.05,0.18,1.0,0.18,1.07,0.18,1.08,0.18
10,1.06,0.2,1.09,0.2,1.06,0.2,1.06,0.2,1.05,0.2,0.98,0.2,1.02,0.2,1.0,0.2,1.07,0.2,1.05,0.2
11,1.03,0.22,1.07,0.22,1.03,0.22,1.04,0.22,1.03,0.22,0.96,0.22,0.99,0.22,0.98,0.22,1.05,0.22,1.07,0.22
12,1.0,0.24,1.04,0.24,1.0,0.24,1.02,0.24,1.01,0.24,0.93,0.24,0.95,0.24,0.97,0.24,1.04,0.24,1.04,0.24
13,0.96,0.26,1.01,0.26,0.98,0.26,0.99,0.26,0.99,0.26,0.9,0.26,0.95,0.26,0.94,0.26,1.02,0.26,1.02,0.26
14,0.92,0.28,0.97,0.28,0.94,0.28,0.96,0.28,0.96,0.28,0.88,0.28,0.94,0.28,0.94,0.28,1.01,0.28,1.0,0.28
15,0.88,0.3,0.94,0.3,0.91,0.3,0.93,0.3,0.93,0.3,0.85,0.3,0.91,0.3,0.92,0.3,0.99,0.3,1.02,0.3
16,0.84,0.32,0.91,0.32,0.88,0.32,0.9,0.32,0.91,0.32,0.82,0.32,0.88,0.32,0.9,0.32,0.97,0.32,1.02,0.32
17,0.8,0.34,0.87,0.34,0.84,0.34,0.87,0.34,0.87,0.34,0.79,0.34,0.86,0.34,0.87,0.34,0.94,0.34,1.03,0.34
18,0.75,0.36,0.83,0.36,0.8,0.36,0.84,0.36,0.84,0.36,0.75,0.36,0.82,0.36,0.85,0.36,0.93,0.36,1.01,0.36
19,0.7,0.38,0.79,0.38,0.76,0.38,0.8,0.38,0.81,0.38,0.72,0.38,0.79,0.38,0.83,0.38,0.91,0.38,0.99,0.38
20,0.65,0.4,0.75,0.4,0.72,0.4,0.76,0.4,0.77,0.4,0.68,0.4,0.77,0.4,0.8,0.4,0.89,0.4,0.98,0.4
21,0.6,0.42,0.7,0.42,0.68,0.42,0.72,0.42,0.74,0.42,0.64,0.42,0.73,0.42,0.78,0.42,0.87,0.42,0.97,0.42
22,0.55,0.44,0.65,0.44,0.63,0.44,0.68,0.44,0.7,0.44,0.6,0.44,0.7,0.44,0.75,0.44,0.84,0.44,0.95,0.44
23,0.49,0.46,0.6,0.46,0.58,0.46,0.64,0.46,0.66,0.46,0.56,0.46,0.66,0.46,0.72,0.46,0.82,0.46,0.94,0.46
24,0.44,0.48,0.55,0.48,0.53,0.48,0.6,0.48,0.62,0.48,0.52,0.48,0.62,0.48,0.69,0.48,0.8,0.48,0.92,0.48
25,0.38,0.5,0.51,0.5,0.49,0.5,0.55,0.5,0.58,0.5,0.48,0.5,0.59,0.5,0.66,0.5,0.77,0.5,0.91,0.5
26,0.32,0.52,0.45,0.52,0.43,0.52,0.5,0.52,0.53,0.52,0.44,0.52,0.55,0.52,0.64,0.52,0.75,0.52,0.89,0.52
27,0.26,0.54,0.4,0.54,0.38,0.54,0.45,0.54,0.49,0.54,0.4,0.54,0.51,0.54,0.6,0.54,0.72,0.54,0.87,0.54
28,0.2,0.56,0.34,0.56,0.32,0.56,0.41,0.56,0.44,0.56,0.35,0.56,0.47,0.56,0.57,0.56,0.7,0.56,0.86,0.56
29,0.14,0.58,0.28,0.58,0.27,0.58,0.35,0.58,0.4,0.58,0.31,0.58,0.44,0.58,0.54,0.58,0.67,0.58,0.84,0.58
30,0.13,0.6,0.23,0.6,0.22,0.6,0.3,0.6,0.36,0.6,0.26,0.6,0.4,0.6,0.51,0.6,0.64,0.6,0.82,0.6
31,,,0.16,0.62,0.16,0.62,0.25,0.62,0.31,0.62,0.22,0.62,0.36,0.62,0.48,0.62,0.62,0.62,0.81,0.62
32,,,0.13,0.64,0.13,0.64,0.2,0.64,0.26,0.64,0.17,0.64,0.32,0.64,0.44,0.64,0.59,0.64,0.79,0.64
33,,,,,,,0.15,0.66,0.22,0.66,0.12,0.66,0.28,0.66,0.41,0.66,0.56,0.66,0.77,0.66
34,,,,,,,0.13,0.68,0.17,0.68,,,0.24,0.68,0.37,0.68,0.54,0.68,0.76,0.68
35,,,,,,,,,0.12,0.7,,,0.2,0.7,0.34,0.7,0.51,0.7,0.74,0.7
36,,,,,,,,,,,,,0.16,0.72,0.31,0.72,0.48,0.72,0.72,0.72
37,,,,,,,,,,,,,0.12,0.74,0.27,0.74,0.45,0.74,0.7,0.74
38,,,,,,,,,,,,,,,0.24,0.76,0.42,0.76,0.68,0.76
39,,,,,,,,,,,,,,,0.2,0.78,0.4,0.78,0.66,0.78
40,,,,,,,,,,,,,,,0.17,0.8,0.37,0.8,0.64,0.8
41,,,,,,,,,,,,,,,0.13,0.82,0.34,0.82,0.63,0.82
42,,,,,,,,,,,,,,,,,0.32,0.84,0.61,0.84
43,,,,,,,,,,,,,,,,,0.28,0.86,0.59,0.86
44,,,,,,,,,,,,,,,,,0.25,0.88,0.57,0.88
45,,,,,,,,,,,,,,,,,0.22,0.9,0.55,0.9
46,,,,,,,,,,,,,,,,,0.2,0.92,0.53,0.92
47,,,,,,,,,,,,,,,,,0.17,0.94,0.51,0.94
48,,,,,,,,,,,,,,,,,0.14,0.96,0.49,0.96
49,,,,,,,,,,,,,,,,,0.13,0.98,0.47,0.98
50,,,,,,,,,,,,,,,,,,,0.45,1.0
51,,,,,,,,,,,,,,,,,,,0.43,1.02
52,,,,,,,,,,,,,,,,,,,0.41,1.04
53,,,,,,,,,,,,,,,,,,,0.39,1.06
54,,,,,,,,,,,,,,,,,,,0.37,1.08
55,,,,,,,,,,,,,,,,,,,0.35,1.1
56,,,,,,,,,,,,,,,,,,,0.33,1.12
57,,,,,,,,,,,,,,,,,,,0.31,1.14
58,,,,,,,,,,,,,,,,,,,0.29,1.16
59,,,,,,,,,,,,,,,,,,,0.27,1.18
