Average monthly temperatures in Dubuque, Iowa, 
January 1964 through December 1975, n=144

	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1964   -4.1    -3.5    -0.8     8.6     17.2    20.3    23.2    19.9    16.2    9.2     4.2    -6.7
1965   -8.8    -7.2    -4.3     7.4     16.3    19.2    22.3    20.2    15.7    10.5    3.0    -0.5
1966   -12.0   -5.8     3.0     7.1     11.8    20.0    23.2    20.1    15.9    10.1    2.9    -4.1
1967   -5.8    -9.6     1.7     9.1     12.2    20.1    20.9    18.7    16.0    9.5     0.7    -3.3
1968   -7.2    -6.3     4.6     10.0    12.9    19.8    21.5    21.3    15.9    10.4    2.1    -6.3
1969   -10.0   -4.4    -1.4     8.1     14.8    16.8    22.3    22.1    16.6    8.7     1.2    -6.4
1970   -13.1   -7.2    -0.3     9.3     16.4    20.1    22.3    21.4    16.9    11.5    2.6    -4.6
1971   -11.6   -6.7    -1.3     8.7     13.2    22.9    20.0    19.5    18.3    13.9    3.1    -2.4
1972   -10.3   -8.2    -0.7     6.5     16.8    19.1    21.2    22.0    16.7    7.8     0.4    -8.2
1973   -5.3    -3.5     5.7     7.3     13.1    20.5    22.4    22.4    16.9    13.1    3.3    -6.4
1974   -8.0    -6.4     1.2     9.6     12.7    17.7    23.3    19.5    14.3    10.4    2.7    -3.6
1975   -6.4    -6.9    -4.1     5.2     16.6    20.3    22.2    21.7    14.1    11.4    4.8    -3.2
